title,genre,aired,episodes,members,popularity,ranked,score
Show By Rock!! x Joysound,"['Music', 'Comedy']","Jun 27, 2014 to May 15, 2016",4.0,1376,8832,9434.0,5.66
Sasurai no Shoujo Nell,"['Adventure', 'Historical', 'Shoujo']","Oct 25, 1979 to Apr 24, 1980",26.0,773,10044,6975.0,6.32
Lostorage Conflated WIXOSS,"['Game', 'Psychological']","Apr 7, 2018 to Jun 23, 2018",12.0,21585,3073,3038.0,7.18
Dededen,['Slice of Life'],"Feb 23, 2015 to Dec 14, 2015",5.0,338,11880,8747.0,5.87
Go! Princess Precure,"['Action', 'Comedy', 'Fantasy', 'Magic', 'School', 'Shoujo', 'Slice of Life']","Feb 1, 2015 to Jan 31, 2016",50.0,10097,4333,954.0,7.78
Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,"['Cars', 'Kids', 'Fantasy']","Jul 10, 2010",1.0,187,13638,13963.0,5.44
Blossom,['Music'],"Mar 24, 2012",1.0,3909,6351,5697.0,6.57
Naisho no Tsubomi,"['Kids', 'Romance', 'School', 'Shoujo', 'Slice of Life', 'Supernatural']","Apr 25, 2008 to Jun 27, 2008",3.0,6551,5151,5341.0,6.65
Big Order,"['Action', 'Super Power', 'Shounen']","Oct 3, 2015",1.0,28977,2626,8682.0,5.89
Omakase! Miracle Cat-dan,"['Comedy', 'Kids', 'Super Power']","Mar 31, 2015 to Feb 23, 2016",32.0,341,11852,13409.0,5.54
Stitch to Suna no Wakusei,"['Sci-Fi', 'Adventure', 'Comedy', 'Kids']","Jun 16, 2012",1.0,451,11227,8925.0,5.82
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),"['Sci-Fi', 'Comedy', 'Mecha']","May 2, 2007 to Apr 13, 2008",12.0,10263,4293,2194.0,7.38
Kimi ga Wasureta Ookina Mono,"['Kids', 'Music']","Jun 1, 1992",1.0,67,15954,12696.0,5.31
"Ima, Futari no Michi",['Drama'],"Mar 8, 2015",1.0,507,10965,8918.0,5.82
Buta,"['Adventure', 'Comedy', 'Fantasy', 'Historical']","Mar 5, 2012",1.0,7392,4903,6200.0,6.47
Dragon Ball Super: Broly - Skytree Super,"['Action', 'Comedy', 'Shounen']","Nov 1, 2018",1.0,6387,5242,3937.0,6.96
Sangokushi Dainibu Choukou Moyu,"['Action', 'Historical']","Mar 20, 1993",1.0,378,11633,5774.0,6.5600000000000005
Happy Kappy Recap,"['Comedy', 'Fantasy', 'Shoujo']","Aug 17, 2011",1.0,278,12352,10429.0,5.28
Yuri!!! on Ice,"['Comedy', 'Sports']","Oct 6, 2016 to Dec 22, 2016",12.0,383651,230,488.0,8.07
Machibouke,"['Music', 'Kids']","Aug 16, 1973",1.0,80,15710,12920.0,4.15
Kensaku to Enjin no Happy Birthday,['Kids'],"Jun 19, 2018",1.0,84,15683,12652.0,5.11
Bokura no: Tsuisou,"['Sci-Fi', 'Psychological', 'Drama', 'Mecha']","Jul 24, 2007",1.0,2498,7424,7694.0,6.16
Zetsumetsu Kigu Shoujo: Amazing Twins,"['Magic', 'Slice of Life']","Feb 26, 2014 to Jun 25, 2014",2.0,9459,4444,6528.0,6.41
Denshin Mamotte Shugogetten,"['Comedy', 'Fantasy', 'Magic', 'Romance', 'Shounen']","Jun 23, 2000 to Nov 30, 2001",8.0,2917,7070,5795.0,6.55
Crusher Joe,"['Action', 'Sci-Fi', 'Adventure', 'Space']","Mar 12, 1983",1.0,4611,5934,4202.0,6.89
Kuromukuro,"['Action', 'Sci-Fi', 'Mecha']","Apr 7, 2016 to Sep 29, 2016",26.0,93405,1172,2550.0,7.3
Bouken Yuuki Pluster World,"['Action', 'Sci-Fi', 'Adventure', 'Shounen']","Apr 3, 2003 to Mar 25, 2004",52.0,598,10602,7423.0,6.22
Kizuna (Special),"['Slice of Life', 'Romance', 'Drama']",2012,1.0,672,10343,9184.0,5.74
Hello Kitty no Oyayubi-hime,"['Adventure', 'Fantasy', 'Kids']","Jul 21, 1990",1.0,170,13990,12256.0,5.91
Pandora Hearts,"['Adventure', 'Fantasy', 'Mystery', 'Shounen', 'Supernatural']","Apr 3, 2009 to Sep 25, 2009",25.0,320945,299,918.0,7.8
Salad Land,['Fantasy'],"Feb 9, 2012",1.0,260,12538,10874.0,5.01
Iketeru Futari,"['Comedy', 'Romance', 'Ecchi', 'School', 'Seinen']","Feb 2, 1999 to Feb 26, 1999",16.0,15076,3652,5132.0,6.69
Sasameki Koto,"['Comedy', 'Romance', 'School', 'Shoujo Ai']","Oct 8, 2009 to Dec 31, 2009",13.0,50491,1885,3201.0,7.15
Tsuki ga Kirei Recap,"['Romance', 'School']","May 19, 2017",1.0,10386,4276,5955.0,6.53
Timbre A to Z,"['Music', 'Dementia']","Jan 22, 2011 to Feb 16, 2011",26.0,470,11131,11185.0,4.7
Generation of Chaos,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Magic']","Sep 5, 2001",1.0,1761,8230,11442.0,3.5
Lemon Angel YJ-ban,"['Romance', 'School']","Jul 6, 1990 to Aug 3, 1990",2.0,424,11363,8565.0,5.93
Princess Sara,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']","Jan 6, 1985 to Dec 29, 1985",46.0,12864,3901,1020.0,7.75
Choujikuu Kidan Southern Cross,"['Action', 'Sci-Fi', 'Drama', 'Mecha']","Apr 15, 1984 to Sep 30, 1984",23.0,5382,5583,5223.0,6.67
Majutsushi Orphen: Revenge,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']","Oct 2, 1999 to Mar 26, 2000",23.0,12102,3997,4181.0,6.9
Tobacco wa Dasai,"['School', 'Slice of Life']","Feb 13, 2014",1.0,422,11380,11158.0,4.73
Hatsukoi Monster: Mou Chotto dake Tsuzukunja,"['Comedy', 'Romance', 'School', 'Shoujo']","Feb 7, 2017",1.0,5628,5486,7189.0,6.27
Bem,"['Action', 'Demons', 'Supernatural']","Jul 15, 2019 to Oct 14, 2019",12.0,40881,2156,7919.0,6.11
Shin Mitsubachi Maya no Bouken,"['Adventure', 'Comedy']","Oct 12, 1982 to Sep 27, 1983",52.0,2049,7903,6841.0,6.35
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,"['Comedy', 'Mystery', 'Super Power']","Feb 27, 2016",1.0,3023,6996,3020.0,7.19
Mo Jing Lieren 2nd Season,"['Adventure', 'Fantasy']","Apr 26, 2015 to Dec 31, 2015",26.0,129,14759,13102.0,6.47
Heart Realize,['Music'],"Mar 12, 2014",1.0,5068,5738,3762.0,7.01
Bubble Bath,"['Music', 'Kids']","Dec 2, 2001",1.0,99,15310,11684.0,4.5600000000000005
Fire Tripper,"['Fantasy', 'Sci-Fi']","Dec 16, 1985",1.0,3291,6792,4893.0,6.74
Guskou Budori no Denki,['Drama'],"Jul 16, 1994",1.0,990,9533,6547.0,6.4
Umi e Kite,"['Kids', 'Music']","Aug 20, 1984",1.0,75,15835,14362.0,5.42
Yamada-kun to 7-nin no Majo (TV),"['Comedy', 'Harem', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']","Apr 12, 2015 to Jun 28, 2015",12.0,426707,186,990.0,7.77
Kabi Usagi,['Comedy'],"Jul 5, 2012 to Aug 10, 2012",3.0,139,14543,12502.0,4.36
Mahou Shoujo Madoka★Magica: Concept Movie,"['Drama', 'Magic', 'Psychological', 'Thriller']","Nov 27, 2015",1.0,16717,3500,3188.0,7.15
Towa no Quon 2: Konton no Ranbu,"['Action', 'Sci-Fi', 'Mystery', 'Super Power', 'Supernatural']","Jul 16, 2011",1.0,28963,2622,1927.0,7.45
Galerians: Rion,"['Adventure', 'Drama', 'Horror', 'Military', 'Mystery', 'Psychological', 'Sci-Fi', 'Shounen', 'Supernatural']","Apr 24, 2002",3.0,2586,7341,9684.0,5.57
Dantalian no Shoka: Ibarahime,"['Action', 'Historical', 'Mystery']","Aug 9, 2012",1.0,18130,3355,2950.0,7.2
Tennis no Ouji-sama: Mini Theater,['Comedy'],"Dec 22, 2009",3.0,3633,6531,3783.0,7.01
Platonic Chain,"['Sci-Fi', 'Slice of Life']","Oct 5, 2002 to Mar 29, 2003",24.0,1875,8097,9395.0,5.67
Line Town,"['Comedy', 'Kids']","Apr 3, 2013 to Mar 26, 2014",50.0,566,10710,6654.0,6.38
Gunparade March: Arata Naru Kougunka,"['Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Shounen', 'Slice of Life']","Feb 6, 2003 to Apr 24, 2003",12.0,12877,3897,4332.0,6.86
Bannou Bunka Neko-Musume Specials,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Seinen']","Aug 1, 1999",2.0,1306,8944,5853.0,6.54
Super Mario no Shouboutai,['Kids'],Not available,1.0,261,12511,10338.0,5.33
Shimajirou to Ookinaki,"['Kids', 'Adventure']","Mar 13, 2015",1.0,161,14137,13823.0,5.39
Go-hiki no Kozaru-tachi,['Demons'],1956,1.0,189,13572,10630.0,5.18
"Pokemon: Pikachu, Kore Nan no Kagi?","['Adventure', 'Comedy', 'Fantasy', 'Kids']","Jul 19, 2014",1.0,3879,6376,6311.0,6.45
Dog Days'' Specials,"['Action', 'Adventure', 'Magic', 'Fantasy']","Mar 25, 2015 to Aug 26, 2015",12.0,1806,8204,5027.0,6.71
Lalala Lala-chan: Patapata Daisensou,"['Adventure', 'Fantasy', 'Kids']","Oct 21, 2016 to Jan 13, 2017",12.0,128,14755,12868.0,4.65
Kimi ga Nozomu Eien: Next Season,"['Drama', 'Romance']","Dec 21, 2007 to Dec 19, 2008",4.0,24637,2875,3844.0,6.99
Ai Tenshi Densetsu Wedding Peach Specials,"['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']","Nov, 1995",2.0,978,9574,6431.0,6.42
Mai-Otome,"['Comedy', 'Drama', 'Fantasy', 'Magic']","Oct 7, 2005 to Mar 31, 2006",26.0,43277,2078,2370.0,7.34
Shinigami no Ballad.,"['Drama', 'Fantasy', 'Psychological', 'Supernatural']","Mar 3, 2006 to Apr 7, 2006",6.0,39045,2225,3918.0,6.97
Zhu Zhu Xia: Xingfu Jiuyuan Dui,"['Sci-Fi', 'Super Power', 'Kids']","Sep, 2012 to ?",52.0,81,15726,14652.0,4.42
Ninja Tamamaru,"['Kids', 'Martial Arts']","Apr 12, 2008 to Oct 25, 2008",26.0,98,15419,13290.0,5.93
Mother: Saigo no Shoujo Eve,"['Adventure', 'Drama', 'Sci-Fi']","Dec 26, 1993",1.0,983,9553,9047.0,5.78
Chen-Kuro Gakuen,"['Comedy', 'Parody', 'School']","Dec 3, 2016 to Feb 11, 2017",3.0,655,10398,9644.0,5.58
Sora Iro no Tane,['Kids'],"Nov, 1992",1.0,2941,7051,8795.0,5.86
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Slice of Life', 'Supernatural', 'Drama']","Apr 15, 2011 to Jun 24, 2011",11.0,849794,48,94.0,8.5
Soushin Shoujo Matoi: Kabushiki Gaisha Knight Busters,"['Magic', 'Supernatural']","Apr 21, 2017",1.0,2520,7407,5647.0,6.59
Maku,['Dementia'],"Aug 25, 2014",1.0,241,12772,8358.0,6.0
3-Nen D-Gumi Glass no Kamen,"['Comedy', 'Parody', 'School']","Oct 3, 2016 to Dec 26, 2016",13.0,1721,8286,11107.0,4.79
Tantei Gakuen Q,"['Comedy', 'Drama', 'Mystery', 'Police', 'Shounen']","Apr 15, 2003 to Mar 20, 2004",45.0,24373,2892,888.0,7.82
Akane Maniax,"['Comedy', 'Mecha', 'Romance']","Nov 25, 2004 to Aug 26, 2005",3.0,16263,3537,9062.0,5.77
Shimajirou to Niji no Oasis,['Kids'],"Mar 10, 2017",1.0,155,14260,13822.0,7.23
God Eater 3,"['Action', 'Game', 'Music']","Nov 13, 2018",1.0,2684,7284,6298.0,6.45
Nekketsu Saikyou Go-Saurer,"['Action', 'Sci-Fi', 'Mecha']","Mar 3, 1993 to Feb 23, 1994",51.0,773,10038,4515.0,6.82
Dragon Ball Super,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Fantasy', 'Shounen']","Jul 5, 2015 to Mar 25, 2018",131.0,371648,242,1382.0,7.61
Nakano Harada Kekkon Kyousoukyoku,['Music'],"Mar 17, 2014",1.0,107,15153,13186.0,4.21
Teekyuu 9,"['Comedy', 'Sports']","Jul 12, 2017 to Sep 27, 2017",12.0,9280,4484,5308.0,6.66
Anime Tengu no Kakuresato,"['Demons', 'Kids']",2006,1.0,99,15335,11539.0,5.8
Believe,"['Action', 'Super Power', 'Music']","Apr 3, 2008",1.0,864,9839,8550.0,5.93
Ikoku Meiro no Croisée Picture Drama,"['Historical', 'Seinen', 'Slice of Life']","Oct 26, 2011 to Mar 21, 2012",6.0,3273,6806,6390.0,6.43
Koutetsu Tenshi Kurumi Zero,"['Drama', 'Romance', 'Sci-Fi']","Apr 18, 2001 to Jun 20, 2001",3.0,4552,5973,7760.0,6.15
Huoli Shaonian Wang 3: Xuji,"['Game', 'Kids']",2012,26.0,82,15707,12372.0,5.93
Kirakira,['Music'],"Aug 23, 2011",1.0,112,15030,8983.0,5.8
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,"['Comedy', 'Magic']","Jul 31, 2012 to Nov 16, 2012",12.0,4408,6047,10448.0,5.27
Kokoro no Koukyougaku,"['Drama', 'Kids']",2002,1.0,113,15049,12766.0,6.83
"Urusei Yatsura: Haru da, Tobidase!","['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Romance']","Mar 31, 1982",1.0,2921,7062,4574.0,6.8100000000000005
Happy☆Lesson (TV),"['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']","Apr 1, 2002 to Jun 30, 2002",13.0,21790,3057,4897.0,6.74
Choubakumatsu Shounen Seiki Takamaru,"['Action', 'Comedy', 'Fantasy']","Nov 1, 1991 to Dec 20, 1991",2.0,200,13406,11797.0,6.48
Ore Monogatari!!,"['Comedy', 'Romance', 'Shoujo']","Apr 9, 2015 to Sep 24, 2015",24.0,373132,239,537.0,8.03
Balloon (Music),['Music'],"Nov 29, 2012",1.0,204,13351,10055.0,5.44
Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!,"['Slice of Life', 'Kids', 'Supernatural']","Jun 24, 2015",1.0,424,11375,8402.0,5.98
Tada-kun wa Koi wo Shinai,"['Comedy', 'Romance', 'Slice of Life']","Apr 5, 2018 to Jun 28, 2018",13.0,139022,801,1458.0,7.59
Doolie Baenang-Yeohaeng,"['Adventure', 'Kids']","Oct, 1995",7.0,128,14735,11922.0,5.52
Ba La La Xiao Mo Xian Zhi: Caihong Xin Shi,"['Comedy', 'Magic', 'Shoujo']","Mar 26, 2011 to Dec, 2011",36.0,881,9813,7328.0,6.24
Shugo Chara!,"['Comedy', 'Magic', 'School', 'Shoujo']","Oct 6, 2007 to Sep 27, 2008",51.0,160571,689,1680.0,7.52
Macross 7,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Music', 'Space', 'Comedy', 'Drama', 'Romance', 'Mecha', 'Shounen']","Oct 16, 1994 to Sep 24, 1995",49.0,21714,3061,3040.0,7.18
Jii Coro Comic,"['Comedy', 'Kids', 'Sci-Fi']","Dec 25, 2015",1.0,120,14937,12469.0,4.34
Tongari Boushi no Memole: Marielle no Housekibako,"['Fantasy', 'Magic', 'Shoujo']","Mar 16, 1985",1.0,376,11649,7262.0,6.26
Juushin Enbu: Hero Tales,"['Action', 'Fantasy', 'Shounen']","Oct 8, 2007 to Mar 31, 2008",26.0,21525,3072,4135.0,6.91
Belle to Kaijuu Ouji,"['Historical', 'Kids', 'Fantasy']",1976,1.0,113,15026,11632.0,6.32
Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei,"['Drama', 'Romance', 'School']","Sep 26, 2012",1.0,6282,5262,4374.0,6.85
Catman Specials,"['Slice of Life', 'Fantasy', 'Comedy']","2002 to Oct 31, 2008",4.0,504,10984,8873.0,5.83
"Taisetsu na Kazoku wo Tsutsumu, Sono Te.",['Slice of Life'],"Nov 23, 2017",1.0,152,14352,7956.0,6.11
Meiji Tokyo Renka Movie 1: Yumihari no Serenade,"['Fantasy', 'Harem', 'Romance', 'Shoujo']","Jul 18, 2015",1.0,8745,4584,5200.0,6.68
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA),"['Sci-Fi', 'Adventure', 'Police', 'Mecha']","Jan 20, 2018 to Aug 18, 2018",8.0,208,13324,14255.0,6.15
Nagi no Asu kara,"['Drama', 'Fantasy', 'Romance']","Oct 3, 2013 to Apr 3, 2014",26.0,383686,228,342.0,8.18
Lupin III: Harimao no Zaihou wo Oe!!,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Aug 4, 1995",1.0,4510,5998,3559.0,7.06
Mattsu to Yanma to Moburi-san 2: Suigun Otakara to Nazotoki no Shimajima,"['Magic', 'Fantasy']","Oct 23, 2014",1.0,302,12130,9957.0,5.48
Slayers Premium,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']","Dec 22, 2001",1.0,15935,3578,2714.0,7.26
Zoku Naniwa Yuukyouden,"['Action', 'Comedy']","Jun 25, 1992",1.0,190,13604,14661.0,5.52
12-sai. 2nd Season,"['Romance', 'School', 'Shoujo']","Jul 3, 2015 to Dec 1, 2015",4.0,3229,6850,7036.0,6.3
Choegang Top Plate,"['Action', 'Kids', 'Sports', 'Comedy']","Sep 11, 2013 to Dec 26, 2013",26.0,262,12518,6808.0,6.35
Nexus,['Music'],"Sep 14, 2011",1.0,3402,6713,8661.0,5.9
Arion,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Drama', 'Seinen']","Mar 15, 1986",1.0,4015,6273,7471.0,6.21
Super Robot Taisen OG The Animation,"['Mecha', 'Sci-Fi', 'Shounen', 'Space']","May 27, 2005 to Dec 23, 2005",3.0,3249,6818,5015.0,6.72
Omedetou Jesus-sama,"['Historical', 'Kids']","Oct 11, 2005",1.0,156,14219,13410.0,6.18
Wo Shi Jiang Xiaobai,"['Drama', 'Romance', 'Slice of Life']","Nov 9, 2017 to Jan 24, 2018",12.0,5200,5676,2432.0,7.33
Kuromajo-san ga Tooru!!,"['Comedy', 'Magic', 'School', 'Slice of Life']","Apr 4, 2012 to Feb 19, 2014",60.0,7291,4930,5981.0,6.52
Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,['Kids'],"Dec 20, 2008",1.0,303,12107,11958.0,6.33
Kotatsu Neko (ONA),['Comedy'],"Feb, 2005 to Nov, 2005",2.0,911,9702,8954.0,5.8100000000000005
Mermaid Forest OVA,"['Drama', 'Fantasy', 'Horror', 'Mystery']","Aug 16, 1991",1.0,5168,5679,4295.0,6.87
Planet With,"['Action', 'Mecha', 'Sci-Fi']","Jul 8, 2018 to Sep 23, 2018",12.0,41814,2128,2377.0,7.34
PePePePengiin,['Comedy'],"Oct 2, 2016 to Dec 25, 2016",13.0,374,11667,13533.0,5.54
Tachiguishi Retsuden,['Comedy'],"Apr 8, 2006",1.0,727,10161,9767.0,5.55
Licca-chan Fushigi na Mahou no Ring,"['Adventure', 'Fantasy']","Aug 30, 1991",2.0,600,10594,8287.0,6.02
Origami of Landscape,['Dementia'],"Jun 8, 2013",1.0,186,13635,10614.0,5.19
KoSys! Kochira Keihime Tetsudou: Kouhou System-ka,"['Slice of Life', 'Comedy']","Apr 9, 2014 to May 18, 2016",2.0,269,12456,12792.0,4.69
Queen's Blade: Gyokuza wo Tsugu Mono Specials,"['Action', 'Adventure', 'Ecchi', 'Fantasy']","Dec 22, 2009 to May 25, 2010",6.0,9800,4377,7446.0,6.22
Nagasaki 1945: Angelus no Kane,"['Drama', 'Historical', 'Military']","Sep 9, 2005",1.0,595,10610,6176.0,6.48
